key,title,year,venue,arxiv,object_of_change,shift_type,prediction_conditioning,legitimacy_reference,metric,explainers,data,theory,verified,threat,delta_vs_ours
dombrowski2019,Explanations can be manipulated and geometry is to blame,2019,NeurIPS,1906.07983,input (adversarial),adversarial perturbation,YES,none,saliency map distance,gradient methods,ImageNet,curvature/geometry theory,known (LIT),CRITICAL for adversarial axis,Their curvature mechanism is the reason our Proposition 2 counterexample works; we cite it as the mechanism behind the gradient result.
slack2020,Fooling LIME and SHAP: Adversarial Attacks on Post hoc Explanation Methods,2020,AIES,1911.02508,model (adversarial scaffolding),none,YES,none,top feature identity,LIME KernelSHAP,COMPAS et al.,none,known (LIT),LOW,Adversarial construction; we study ordinary fine-tuning.
alvarez2018,On the Robustness of Interpretability Methods,2018,arXiv/ICML workshop,1806.08049,input,infinitesimal,none,none,local Lipschitz estimate,several,tabular + image,Lipschitz formalism,known (LIT),CRITICAL for 'new metric' claim,"Every raw distance we use is an existing stability metric. We claim no new distance; the contribution is the reference and the decomposition."
yeh2019,On the (In)fidelity and Sensitivity of Explanations,2019,NeurIPS,1901.09392,input,perturbation,none,none,infidelity + max-sensitivity,several,image,theory linking smoothing to sensitivity,known (LIT),CRITICAL for 'new metric' claim,Same as above; sensitivity is a single-model construct.
quantus2023,Quantus: An Explainable AI Toolkit for Responsible Evaluation of Neural Network Explanations,2023,JMLR,2202.06861,n/a (toolkit),n/a,n/a,none,implements RIS/ROS sensitivity faithfulness complexity,many,n/a,none,known (LIT),HIGH unless used as baseline,We implement our distances on top of Quantus and cross-check against it in a unit test so 'why not just run Quantus' has a concrete answer.
openxai2022,OpenXAI: Towards a Transparent Evaluation of Model Explanations,2022,NeurIPS D&B,2206.11104,n/a (benchmark),n/a,n/a,none,ships RIS/RRS/ROS + faithfulness,many,tabular,none,known (LIT),HIGH unless cited,Same as Quantus; we are not a benchmark paper.
krishna2022,The Disagreement Problem in Explainable Machine Learning,2022,arXiv,2202.01602,explainer choice,none,none,none,rank/sign/top-k agreement between explainers,LIME SHAP IG GradCAM,tabular + text + image,none,known (LIT),MEDIUM,Cross-explainer disagreement is reported by us as context (audit H6 is trivial); it is not a hypothesis.
attribimposs2026,The Attribution Impossibility: No Feature Ranking Is Faithful Stable and Complete Under Collinearity,2026,arXiv (May),2605.21492,feature ranking (collinear features),none,none,none,attribution ratio; Z-test for ranking reliability,SHAP-family,77 public datasets,"impossibility theorem, Lean 4 verified, Rashomon Characterization Z_jk<1.96",web-verified,MEDIUM (must engage),"We adopt their Z-test to PARTITION probe features into collinearity-reliable and unreliable, and show unwarranted change survives on the reliable partition. Uses their result to defend ours."
rethinkrobust2025,Rethinking Robustness: A New Approach to Evaluating Feature Attribution Methods,2025,arXiv (Dec),2512.06665,input,GAN-generated similar inputs,partial (accounts for output difference),none,new robustness metric normalised by output difference,gradient methods,image,none,web-verified,MEDIUM,"Nearest neighbour of our critique (existing metrics ignore output difference) but input-perturbation and single-model. We move the object to updates and replace the ratio with a reference."
mcal2026,Missingness Bias Calibration in Feature Attribution Explanations,2026,arXiv (Mar),2603.04831,masked/ablated inputs,off-manifold ablation,n/a,none,calibration of output space on ablated inputs via linear head,SHAP-style ablation,image,reframes missingness bias as output-space artifact,web-verified,LOW as prior art / HIGH as support,Independent evidence that models are uncontrolled on coalition inputs. This is the premise of our Proposition 3 remark; measuring coalition deviation BETWEEN checkpoints is not in MCal.
explainchange2026,Comparing Explanations is Not Enough Explain the Change,2026,arXiv (Feb),2602.02304,model update (LLM pre/post fine-tune),fine-tuning,none,none,delta attribution per token,token attributions,LLM classification,none,web-verified,LOW-MEDIUM,Confirms the explain-the-change framing is active in NLP and still reference-free.
hinder2022,Model-based Drift Explanations / Explaining Concept Drift,2022,various (Hinder Vaquet Hammer),2303.09331,data distribution,concept drift,n/a,n/a,explains WHY data drifted,n/a,streams,drift decomposition,known (LIT),LOW (terminology only),Opposite direction: they explain the drift; we audit the explanation across an update. Terminology collision only.
kulinski2023,Towards Explaining Distribution Shifts,2023,ICML,2210.10275,data distribution,arbitrary shift,n/a,"ground truth for SPARSE shifts (splitting features are known)",optimal-transport shift maps,n/a,synthetic + tabular,transport formalism,known (LIT),LOW,"Different object (the shift itself). Notably they DO have ground truth for sparse shifts - the closest existing use of a known-shift reference, but it references the shift, not the explanation of a model."
damour2020,Underspecification Presents Challenges for Credibility in Modern Machine Learning,2020,JMLR,2011.03395,pipeline seeds,shift-sensitive stress tests,none,none,stress-test performance variance,n/a,many,underspecification formalism,known (LIT),LOW (framing anchor),Our ML framing: explanation change across an update is an operational probe of function non-identifiability. We give underspecification a cheap instance-level instrument.
jain2019,Attention is not Explanation,2019,NAACL,1902.10186,attention weights,none,none,none,correlation with gradient importance,attention,text,none,known (LIT),n/a (excluded),Reason we exclude attention entirely: the Wiegreffe-Pinter rebuttal turns it into a debate we do not want inside this paper.
